idna_subject,checker_type,destination,tested_at
91.200.12.114,AVAILABILITY,domains.list,2021-11-18 08:14:00.116127
91.200.13.16,AVAILABILITY,domains.list,2021-11-18 08:15:42.413079
91.200.12.159,AVAILABILITY,domains.list,2021-11-18 08:16:02.920531
91.200.12.188,AVAILABILITY,domains.list,2021-11-18 08:16:23.406130
103.240.17.73,AVAILABILITY,domains.list,2021-11-18 08:16:43.754039
107.150.49.58,AVAILABILITY,domains.list,2021-11-18 08:16:44.610633
5.39.219.2,AVAILABILITY,domains.list,2021-11-18 08:17:10.247827
91.220.131.134,AVAILABILITY,domains.list,2021-11-18 08:17:30.484849
142.54.164.58,AVAILABILITY,domains.list,2021-11-18 08:17:51.040769
173.208.148.218,AVAILABILITY,domains.list,2021-11-18 08:17:51.849771
173.208.149.170,AVAILABILITY,domains.list,2021-11-18 08:17:53.013397
185.129.148.181,AVAILABILITY,domains.list,2021-11-18 08:18:17.151091
173.208.244.82,AVAILABILITY,domains.list,2021-11-18 08:18:37.586578
113.140.10.30,AVAILABILITY,domains.list,2021-11-18 08:19:12.727964
181.214.87.244,AVAILABILITY,domains.list,2021-11-18 08:19:33.566700
185.130.226.105,AVAILABILITY,domains.list,2021-11-18 08:20:03.438041
185.85.239.156,AVAILABILITY,domains.list,2021-11-19 03:57:45.803387
185.159.36.73,AVAILABILITY,domains.list,2021-11-20 04:02:02.266652
192.187.98.44,AVAILABILITY,domains.list,2021-11-20 04:02:22.822822
173.208.193.42,AVAILABILITY,domains.list,2021-11-20 04:02:43.332964
185.159.36.6,AVAILABILITY,domains.list,2021-11-20 04:03:03.523666
192.151.148.50,AVAILABILITY,domains.list,2021-11-20 04:03:23.909327
192.187.98.42,AVAILABILITY,domains.list,2021-11-20 04:03:24.335843
192.187.98.43,AVAILABILITY,domains.list,2021-11-20 04:03:44.511144
193.201.224.222,AVAILABILITY,domains.list,2021-11-20 04:03:45.639922
192.187.111.146,AVAILABILITY,domains.list,2021-11-20 04:04:05.878306
198.204.224.58,AVAILABILITY,domains.list,2021-11-20 04:04:26.702309
199.168.102.13,AVAILABILITY,domains.list,2021-11-20 04:04:47.050124
193.201.224.205,AVAILABILITY,domains.list,2021-11-20 04:04:48.168794
193.201.225.17,AVAILABILITY,domains.list,2021-11-20 04:04:49.250588
198.204.251.162,AVAILABILITY,domains.list,2021-11-20 04:05:09.843838
212.227.198.56,AVAILABILITY,domains.list,2021-11-20 04:05:30.196511
209.160.30.222,AVAILABILITY,domains.list,2021-11-20 04:05:50.936847
5.39.223.134,AVAILABILITY,domains.list,2021-11-20 04:05:53.024193
5.39.218.232,AVAILABILITY,domains.list,2021-11-20 04:06:14.181331
5.39.222.18,AVAILABILITY,domains.list,2021-11-20 04:06:15.234587
5.254.100.66,AVAILABILITY,domains.list,2021-11-20 04:06:35.575629
31.184.194.90,AVAILABILITY,domains.list,2021-11-20 04:06:37.291855
91.200.12.22,AVAILABILITY,domains.list,2021-11-20 04:06:57.813526
37.59.178.110,AVAILABILITY,domains.list,2021-11-20 04:07:18.155683
91.200.12.2,AVAILABILITY,domains.list,2021-11-20 04:07:38.531669
91.200.12.15,AVAILABILITY,domains.list,2021-11-20 04:07:58.877281
91.200.12.21,AVAILABILITY,domains.list,2021-11-20 04:08:19.102769
69.30.255.106,AVAILABILITY,domains.list,2021-11-20 04:08:39.367934
198.204.225.34,AVAILABILITY,domains.list,2021-11-20 04:08:40.033143
198.204.224.82,AVAILABILITY,domains.list,2021-11-20 04:08:40.477930
91.200.12.33,AVAILABILITY,domains.list,2021-11-20 04:09:00.740082
91.200.12.29,AVAILABILITY,domains.list,2021-11-20 04:09:21.047129
91.200.12.52,AVAILABILITY,domains.list,2021-11-20 04:09:41.361764
91.200.12.42,AVAILABILITY,domains.list,2021-11-20 04:10:01.584820
91.200.12.49,AVAILABILITY,domains.list,2021-11-20 04:10:21.910155
91.200.12.43,AVAILABILITY,domains.list,2021-11-20 04:10:42.237462
91.200.12.18,AVAILABILITY,domains.list,2021-11-20 04:11:02.463118
91.200.12.86,AVAILABILITY,domains.list,2021-11-20 04:11:22.925302
91.200.12.58,AVAILABILITY,domains.list,2021-11-20 04:11:43.177234
91.200.12.61,AVAILABILITY,domains.list,2021-11-20 04:12:03.554933
91.200.12.53,AVAILABILITY,domains.list,2021-11-20 04:12:23.762985
91.200.12.91,AVAILABILITY,domains.list,2021-11-20 04:12:43.959972
91.200.12.81,AVAILABILITY,domains.list,2021-11-20 04:13:04.207363
91.200.12.155,AVAILABILITY,domains.list,2021-11-20 04:13:24.390713
91.200.12.92,AVAILABILITY,domains.list,2021-11-20 04:13:44.980865
91.200.12.153,AVAILABILITY,domains.list,2021-11-20 04:14:05.203752
91.200.12.113,AVAILABILITY,domains.list,2021-11-20 04:14:25.629173
91.200.12.103,AVAILABILITY,domains.list,2021-11-20 04:14:45.931250
