idna_subject,checker_type,destination,source,tested_at,session_id
107.150.37.26,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:18.910698,33f34deecff21c11c343645f
107.150.56.226,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:19.442367,33f34deecff21c11c343645f
107.150.60.34,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:19.589987,33f34deecff21c11c343645f
107.150.62.138,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:19.753117,33f34deecff21c11c343645f
142.54.160.154,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:19.894289,33f34deecff21c11c343645f
142.54.161.146,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:20.034265,33f34deecff21c11c343645f
142.54.174.130,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:20.614475,33f34deecff21c11c343645f
142.54.183.226,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:20.754572,33f34deecff21c11c343645f
142.54.188.34,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:21.014375,33f34deecff21c11c343645f
146.0.74.150,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:22.056542,33f34deecff21c11c343645f
148.253.188.34,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:22.383170,33f34deecff21c11c343645f
162.244.35.14,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:22.579938,33f34deecff21c11c343645f
173.208.169.250,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:23.225790,33f34deecff21c11c343645f
178.137.80.28,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:23.522425,33f34deecff21c11c343645f
178.137.82.201,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:23.822299,33f34deecff21c11c343645f
178.137.83.84,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:25.802304,33f34deecff21c11c343645f
178.137.93.239,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:26.360563,33f34deecff21c11c343645f
185.119.81.11,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:28.238545,33f34deecff21c11c343645f
185.119.81.39,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:31.988208,33f34deecff21c11c343645f
185.119.81.50,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:35.360768,33f34deecff21c11c343645f
185.119.81.63,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:40.722314,33f34deecff21c11c343645f
185.119.81.77,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:44.095491,33f34deecff21c11c343645f
185.119.81.78,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:44.339737,33f34deecff21c11c343645f
185.183.96.33,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:44.633637,33f34deecff21c11c343645f
185.85.190.132,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:48.004305,33f34deecff21c11c343645f
185.85.191.196,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:48.383033,33f34deecff21c11c343645f
185.85.191.201,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:48.812744,33f34deecff21c11c343645f
185.85.238.244,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:49.200211,33f34deecff21c11c343645f
185.85.239.110,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:52.563122,33f34deecff21c11c343645f
185.85.239.130,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:52.805409,33f34deecff21c11c343645f
185.85.239.156,AVAILABILITY,domains.list,domains.list,2021-07-24 11:48:58.381470,33f34deecff21c11c343645f
185.85.239.157,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:07.357993,33f34deecff21c11c343645f
185.85.239.195,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:07.733482,33f34deecff21c11c343645f
185.86.13.211,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:08.153206,33f34deecff21c11c343645f
185.86.13.212,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:08.585324,33f34deecff21c11c343645f
185.86.13.213,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:08.819667,33f34deecff21c11c343645f
185.86.167.4,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:12.185736,33f34deecff21c11c343645f
185.86.5.199,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:12.547139,33f34deecff21c11c343645f
185.86.5.212,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:12.894088,33f34deecff21c11c343645f
185.86.5.251,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:13.254180,33f34deecff21c11c343645f
185.92.72.88,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:13.524824,33f34deecff21c11c343645f
192.187.100.58,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:13.726734,33f34deecff21c11c343645f
192.187.122.42,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:13.909386,33f34deecff21c11c343645f
194.28.115.228,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:14.260667,33f34deecff21c11c343645f
194.28.115.252,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:14.651202,33f34deecff21c11c343645f
195.154.182.111,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:15.036972,33f34deecff21c11c343645f
195.154.183.190,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:15.303722,33f34deecff21c11c343645f
195.154.189.62,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:15.572767,33f34deecff21c11c343645f
195.154.237.74,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:15.911060,33f34deecff21c11c343645f
195.154.252.100,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:16.372573,33f34deecff21c11c343645f
195.154.252.171,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:16.640994,33f34deecff21c11c343645f
195.154.253.105,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:16.906633,33f34deecff21c11c343645f
204.12.226.250,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:17.432503,33f34deecff21c11c343645f
204.12.228.194,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:17.598466,33f34deecff21c11c343645f
208.110.66.130,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:17.760349,33f34deecff21c11c343645f
35.189.196.190,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:17.937006,33f34deecff21c11c343645f
37.1.135.112,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:18.211961,33f34deecff21c11c343645f
46.118.118.90,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:20.073164,33f34deecff21c11c343645f
46.118.119.138,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:20.552933,33f34deecff21c11c343645f
46.118.156.191,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:20.898904,33f34deecff21c11c343645f
5.39.219.2,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:22.397971,33f34deecff21c11c343645f
62.210.146.49,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:22.660245,33f34deecff21c11c343645f
62.210.181.123,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:22.923685,33f34deecff21c11c343645f
62.210.88.4,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:23.261369,33f34deecff21c11c343645f
69.197.145.178,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:23.445802,33f34deecff21c11c343645f
69.30.225.58,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:24.637794,33f34deecff21c11c343645f
74.91.17.178,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:24.802261,33f34deecff21c11c343645f
77.120.155.207,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:25.241313,33f34deecff21c11c343645f
77.121.248.91,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:25.473378,33f34deecff21c11c343645f
79.110.128.128,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:25.836900,33f34deecff21c11c343645f
79.110.128.17,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:26.312276,33f34deecff21c11c343645f
79.110.128.252,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:26.951072,33f34deecff21c11c343645f
79.110.128.63,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:27.309939,33f34deecff21c11c343645f
85.25.236.96,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:27.766409,33f34deecff21c11c343645f
89.248.172.121,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:28.000165,33f34deecff21c11c343645f
91.219.236.140,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:28.336811,33f34deecff21c11c343645f
92.222.74.29,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:28.605593,33f34deecff21c11c343645f
95.24.35.196,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:28.927432,33f34deecff21c11c343645f
95.24.37.130,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:29.543521,33f34deecff21c11c343645f
95.24.52.60,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:30.089294,33f34deecff21c11c343645f
91.200.12.18,AVAILABILITY,domains.list,domains.list,2021-07-24 11:49:50.353990,33f34deecff21c11c343645f
91.200.12.86,AVAILABILITY,domains.list,domains.list,2021-07-24 11:50:10.616660,33f34deecff21c11c343645f
91.200.12.58,AVAILABILITY,domains.list,domains.list,2021-07-24 11:50:30.872762,33f34deecff21c11c343645f
91.200.12.61,AVAILABILITY,domains.list,domains.list,2021-07-24 11:50:51.123726,33f34deecff21c11c343645f
91.200.12.53,AVAILABILITY,domains.list,domains.list,2021-07-24 11:51:11.400056,33f34deecff21c11c343645f
91.200.12.91,AVAILABILITY,domains.list,domains.list,2021-07-24 11:51:31.664038,33f34deecff21c11c343645f
91.200.12.81,AVAILABILITY,domains.list,domains.list,2021-07-24 11:51:51.938225,33f34deecff21c11c343645f
91.200.12.155,AVAILABILITY,domains.list,domains.list,2021-07-24 11:52:12.122873,33f34deecff21c11c343645f
91.200.12.92,AVAILABILITY,domains.list,domains.list,2021-07-24 11:52:32.369245,33f34deecff21c11c343645f
91.200.12.153,AVAILABILITY,domains.list,domains.list,2021-07-24 11:52:52.651019,33f34deecff21c11c343645f
91.200.12.113,AVAILABILITY,domains.list,domains.list,2021-07-24 11:53:12.806592,33f34deecff21c11c343645f
91.200.12.103,AVAILABILITY,domains.list,domains.list,2021-07-24 11:53:32.995359,33f34deecff21c11c343645f
91.200.12.114,AVAILABILITY,domains.list,domains.list,2021-07-24 11:53:53.140640,33f34deecff21c11c343645f
91.200.13.16,AVAILABILITY,domains.list,domains.list,2021-07-24 11:54:13.823654,33f34deecff21c11c343645f
91.200.12.159,AVAILABILITY,domains.list,domains.list,2021-07-24 11:54:34.067215,33f34deecff21c11c343645f
91.200.12.188,AVAILABILITY,domains.list,domains.list,2021-07-24 11:54:54.466501,33f34deecff21c11c343645f
103.240.17.73,AVAILABILITY,domains.list,domains.list,2021-07-24 11:55:14.808540,33f34deecff21c11c343645f
107.150.49.58,AVAILABILITY,domains.list,domains.list,2021-07-24 11:55:15.524443,33f34deecff21c11c343645f
91.220.131.134,AVAILABILITY,domains.list,domains.list,2021-07-24 11:55:35.925844,33f34deecff21c11c343645f
142.54.164.58,AVAILABILITY,domains.list,domains.list,2021-07-24 11:55:56.284004,33f34deecff21c11c343645f
